fips,state,total,white,black,native,asian,pac,other,two,hispanic,non_hispanic_white,year
0400000US12,Florida,4134767,2770294,860032,12404,107504,4135,144717,239816,1269373,1744872,2018
0400000US13,Georgia,2495655,1325193,846027,9983,89844,2496,102322,122287,356879,1105575,2018
0400000US15,Hawaii,304805,54560,4572,305,75896,38405,3353,127713,55779,42673,2018
0400000US16,Idaho,437727,382573,3502,6566,5253,438,17509,21886,79666,328295,2018
0400000US17,Illinois,2919971,1924261,452596,5840,137239,0,239438,157678,718313,1500865,2018
0400000US18,Indiana,1567755,1224417,172453,3136,32923,0,50168,84659,170885,1120945,2018
0400000US19,Iowa,726582,621228,34876,2906,17438,727,12352,36329,71932,568914,2018
0400000US20,Kansas,713270,570616,44936,5706,18545,713,22111,50642,130528,476464,2018
0400000US21,Kentucky,1008572,832072,87746,2017,16137,1009,16137,53454,60514,793746,2018
0400000US22,Louisiana,1105881,613764,406964,5529,16588,0,17694,44235,71882,566211,2018
0400000US23,Maine,253433,228850,6082,2281,3041,0,760,12418,6843,224542,2018
0400000US24,Maryland,1341092,665182,417080,2682,76442,1341,81807,95218,197141,571305,2018
0400000US25,Massachusetts,1373382,983342,126351,4120,87896,0,79656,93390,244462,851497,2018
0400000US26,Michigan,2189144,1589319,348074,13135,65674,0,37215,135727,179510,1471105,2018
0400000US27,Minnesota,1286854,959993,117104,18016,73351,0,34745,82359,113243,896937,2018
0400000US28,Mississippi,717313,373003,304858,3587,5739,0,8608,20802,31562,353635,2018
0400000US29,Missouri,1378239,1062622,183306,5513,24808,2756,26187,74425,90964,1004736,2018
0400000US30,Montana,226134,186334,905,23292,1357,226,1809,12437,13794,177289,2018
0400000US31,Nebraska,470107,387368,26796,6111,10812,470,12223,25856,81329,325784,2018
0400000US32,Nevada,672875,398342,67288,8747,38354,4710,90838,64596,275206,240889,2018
0400000US33,New Hampshire,261621,234412,5494,262,7849,0,1570,11773,15697,223163,2018
0400000US34,New Jersey,1967255,1233469,279350,3935,182955,0,161315,104265,515421,928544,2018
0400000US35,New Mexico,492195,342568,9844,56602,5906,492,47743,28547,295317,119111,2018
0400000US36,New York,4114547,2386437,691244,16458,308591,0,460829,246873,1003949,1991441,2018
0400000US37,North Carolina,2286117,1417393,523521,29720,66297,2286,114306,132595,365779,1200211,2018
0400000US38,North Dakota,173153,139215,6060,14545,2078,0,2251,8831,9870,133674,2018
0400000US39,Ohio,2611520,1971698,378670,5223,52230,0,36561,167137,156691,1875071,2018
0400000US40,Oklahoma,955303,610439,75469,86933,18151,955,35346,128011,160491,512042,2018
0400000US41,Oregon,864653,678753,19887,11240,31992,4323,39774,78683,189359,552513,2018
0400000US42,Pennsylvania,2663627,1971084,362253,5327,93227,0,79909,154490,311644,1795285,2018
0400000US44,Rhode Island,208128,149852,18732,1249,7284,208,16650,14153,51199,121963,2018
0400000US45,South Carolina,1092241,658621,328765,3277,16384,1092,27306,56797,99394,597456,2018
0400000US46,South Dakota,211438,159847,5497,29178,3383,0,2114,11206,13109,152658,2018
0400000US47,Tennessee,1497252,1073530,288970,2995,25453,1497,34437,68874,139244,979203,2018
0400000US48,Texas,7275140,5245376,880292,36376,298281,7275,472884,334656,3593919,2320770,2018
0400000US49,Utah,915700,767357,11904,10073,13736,9157,56773,46701,160248,678534,2018
0400000US50,Vermont,117729,107604,2237,353,2119,0,706,4827,3061,105485,2018
0400000US51,Virginia,1862261,1158326,374314,3725,111736,1862,65179,147119,249543,1005621,2018
0400000US53,Washington,1629144,1117593,66795,26066,110782,13033,105894,188981,342120,928612,2018
0400000US54,West Virginia,371776,336829,13756,744,2602,0,2231,15615,8551,330509,2018
0400000US55,Wisconsin,1286019,1000523,113170,14146,43725,0,41153,72017,149178,911787,2018
0400000US56,Wyoming,137034,120590,1370,4659,959,0,2878,6578,19596,105927,2018
0400000US72,Puerto Rico,685927,459571,65163,1372,1372,0,117979,40470,679068,4801,2018
0400000US01,Alabama,1093711,681382,321551,5469,15312,1094,28436,41561,83122,633259,2019
0400000US02,Alaska,183648,99170,5326,35077,10652,3122,2571,27914,17814,89804,2019
0400000US04,Arizona,1631155,1154858,83189,92976,44041,3262,132124,120705,720971,637782,2019
0400000US05,Arkansas,700843,490590,122648,4906,10513,3504,30837,37846,86204,442933,2019
0400000US06,California,8997470,5011591,485863,71980,1025712,35990,1547565,818770,4669687,2321347,2019
0400000US08,Colorado,1257197,998214,57831,11315,37716,2514,60345,89261,392245,706545,2019
0400000US09,Connecticut,741886,505224,91252,2968,34127,742,51932,56383,178053,409521,2019
0400000US10,Delaware,202980,122397,52369,406,7916,203,5886,13803,31868,99866,2019
0400000US11,District of Columbia,123272,33530,69032,370,2219,0,11218,6903,20463,26627,2019
0400000US12,Florida,4168946,2784856,858803,12507,104224,4169,158420,250137,1300711,1742619,2019
0400000US13,Georgia,2499486,1319729,844826,9998,92481,2499,102479,129973,362425,1097274,2019
0400000US15,Hawaii,303258,55193,4246,607,75208,37604,3942,126459,55496,43366,2019
0400000US16,Idaho,439783,382611,3958,6157,4838,880,18471,23308,80480,329837,2019
0400000US17,Illinois,2884860,1901123,444268,8655,138473,0,233674,158667,709676,1482818,2019
0400000US18,Indiana,1566344,1218616,173864,3133,34460,0,48557,86149,173864,1113671,2019
0400000US19,Iowa,725323,617975,36991,2901,17408,1451,12330,36266,72532,565027,2019
0400000US20,Kansas,708719,566266,43941,5670,18427,709,23388,49610,130404,472716,2019
0400000US21,Kentucky,1005667,827664,89504,2011,16091,1006,16091,52295,62351,789449,2019
0400000US22,Louisiana,1100855,609874,401812,5504,17614,0,19815,46236,74858,562537,2019
0400000US23,Maine,251059,225953,6276,2260,3013,0,1004,12302,7030,221434,2019
0400000US24,Maryland,1338765,655995,415017,2678,76310,1339,91036,99069,204831,563620,2019
